accounting,standard,statement
us-gaap:RepaymentsOfDebtMaturingInMoreThanThreeMonths,Long-Term Debt Repaid,CS
msft:RepaymentsOfShortTermAndLongTermBorrowings,Short & Long-Term Debt Repaid,CS
us-gaap:PaymentsForRepurchaseOfCommonStock,Repurchase of Common Stock,CS
us-gaap:StockIssuedDuringPeriodValueNewIssues,Issuance of Common Stock,CS
us-gaap:StockIssuedDuringPeriodValueNewIssues,Issuance of Common Stock,CS
us-gaap:PaymentsOfDividendsCommonStock,Common Dividends Paid,CS
us-gaap:ProceedsFromPaymentsForOtherFinancingActivities,Other Financing Activities,CS
us-gaap:NetCashProvidedByUsedInFinancingActivities,Cash from Financing,CS
us-gaap:EffectOfExchangeRateOnCashAndCashEquivalents,Foreign Exchange Rate Adj.,CS
us-gaap:CashAndCashEquivalentsPeriodIncreaseDecrease,Net Change in Cash,CS
us-gaap:IncomeTaxesPaidNet,Cash Taxes Paid,CS
us-gaap:CashAndCashEquivalentsAtCarryingValue,Cash And Equivalents,BS
us-gaap:AvailableForSaleSecuritiesCurrent,Short Term Investments,BS
us-gaap:CashCashEquivalentsAndShortTermInvestments,Total Cash & ST Investments,BS
us-gaap:CashCashEquivalentsAndShortTermInvestments,Total Cash & ST Investments,BS
us-gaap:AccountsReceivableNetCurrent,Accounts Receivable,BS
us-gaap:InventoryNet,Inventory,BS
us-gaap:OtherAssetsCurrent,Other Current Assets,BS
us-gaap:AssetsCurrent,Total Current Assets,BS
us-gaap:AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,Accumulated Depreciation,BS
us-gaap:PropertyPlantAndEquipmentNet,"Net Property, Plant & Equipment",BS
us-gaap:LongTermInvestments,Long-term Investments,BS
us-gaap:Goodwill,Goodwill,BS
us-gaap:FiniteLivedIntangibleAssetsNet,Other Intangibles,BS
us-gaap:OtherAssetsNoncurrent,Other Long-Term Assets,BS
us-gaap:Assets,Total Assets,BS
us-gaap:AccountsPayableCurrent,Accounts Payable,BS
us-gaap:ShortTermBorrowings,Short-term Borrowings,BS
us-gaap:LongTermDebtCurrent,Curr. Port. of LT Debt,BS
us-gaap:AccruedIncomeTaxesCurrent,Curr. Income Taxes Payable,BS
us-gaap:ContractWithCustomerLiabilityCurrent,"Unearned Revenue, Current",BS
us-gaap:DeferredRevenueCurrent,"Unearned Revenue, Current",BS
us-gaap:OtherLiabilitiesCurrent,Other Current Liabilities,BS
us-gaap:LiabilitiesCurrent,Total Current Liabilities,BS
us-gaap:LongTermDebtNoncurrent,Long-Term Debt,BS
us-gaap:ContractWithCustomerLiabilityNoncurrent,"Unearned Revenue, Non-Current",BS
us-gaap:DeferredRevenueNoncurrent,"Unearned Revenue, Non-Current",BS
us-gaap:DeferredTaxLiabilitiesNoncurrent,"Def. Tax Liability, Non-Curr.",BS
us-gaap:OtherLiabilitiesNoncurrent,Other Non-Current Liabilities,BS
us-gaap:Liabilities,Total Liabilities,BS
us-gaap:CommonStocksIncludingAdditionalPaidInCapital,Common Stock,BS
us-gaap:CommonStockIncludingAdditionalPaidInCapital,Common Stock,BS
us-gaap:RetainedEarningsAccumulatedDeficit,Retained Earnings,BS
us-gaap:AccumulatedOtherComprehensiveIncomeLossNetOfTax,Comprehensive Inc. and Other,BS
us-gaap:StockholdersEquity,Total Common Equity,BS
us-gaap:LiabilitiesAndStockholdersEquity,Total Liabilities And Equity,BS
us-gaap:InventoryRawMaterialsNetOfReserves,Raw Materials Inventory,BS
us-gaap:InventoryRawMaterials,Raw Materials Inventory,BS
us-gaap:InventoryWorkInProcessNetOfReserves,Work in Progress Inventory,BS
us-gaap:InventoryWorkInProcess,Work in Progress Inventory,BS
us-gaap:InventoryFinishedGoodsNetOfReserves,Finished Goods Inventory,BS
us-gaap:InventoryFinishedGoods,Finished Goods Inventory,BS
us-gaap:Land,Land,BS
us-gaap:BuildingsAndImprovementsGross,Buildings,BS
us-gaap:AllowanceForDoubtfulAccountsReceivableCurrent,Accum. Allowance for Doubtful Accts,BS
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,Revenue,IS
us-gaap:SalesRevenueNet,Revenue,IS
us-gaap:Revenues,Revenue,IS
us-gaap:CostOfGoodsAndServicesSold,Cost Of Goods Sold,IS
us-gaap:CostOfRevenue,Cost Of Goods Sold,IS
us-gaap:GrossProfit,Gross Profit,IS
us-gaap:SellingAndMarketingExpense,Selling General & Admin Exp. ,IS
us-gaap:GeneralAndAdministrativeExpense,Selling General & Admin Exp. ,IS
us-gaap:ResearchAndDevelopmentExpense,R & D Exp.,IS
msft:DepreciationAmortizationAndOther,Depreciation & Amort.,IS
us-gaap:OperatingIncomeLoss,Operating Income,IS
us-gaap:InterestExpense,Interest Expense,IS
us-gaap:InvestmentIncomeNet,Interest and Invest. Income,IS
us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,EBT Incl. Unusual Items,IS
us-gaap:IncomeTaxExpenseBenefit,Income Tax Expense,IS
us-gaap:NetIncomeLoss,Earnings from Cont. Ops.,IS
us-gaap:EarningsPerShareBasic,Basic EPS,IS
us-gaap:WeightedAverageNumberOfSharesOutstandingBasic,Weighted Avg. Basic Shares Out.,IS
us-gaap:EarningsPerShareDiluted,Diluted EPS,IS
us-gaap:WeightedAverageNumberOfDilutedSharesOutstanding,Weighted Avg. Diluted Shares Out.,IS
us-gaap:WeightedAverageNumberOfSharesOutstandingBasic,Weighted Avg. Basic Shares Out.,IS
us-gaap:CommonStockDividendsPerShareDeclared,Dividends per Share,IS
us-gaap:PaymentsOfDividendsCommonStock,Common Dividends Paid,IS
us-gaap:CurrentForeignTaxExpenseBenefit,Current Foreign Taxes,IS
us-gaap:CurrentIncomeTaxExpenseBenefit,Income Tax Expense,IS
us-gaap:DeferredForeignIncomeTaxExpenseBenefit,Deferred Foreign Taxes,IS
us-gaap:DeferredIncomeTaxExpenseBenefit,Total Deferred Taxes,IS
us-gaap:FinanceLeaseInterestExpense,Interest on Long Term Debt,IS
us-gaap:OperatingLeaseCost,Net Rental Exp.,IS
us-gaap:ShareBasedCompensation,"Stock-Based Comp., Unallocated",IS
,,
us-gaap:Revenues,Revenue,IS
us-gaap:Revenues,Total Revenue,IS
us-gaap:CostOfGoodsSold,Cost Of Goods Sold,IS
us-gaap:CostOfRevenue,Cost Of Goods Sold,IS
us-gaap:GrossProfit,Gross Profit,IS
us-gaap:GeneralAndAdministrativeExpense,Selling General & Admin Exp.,IS
us-gaap:ResearchAndDevelopmentExpense,R & D Exp.,IS
us-gaap:OperatingIncomeLoss,Operating Income,IS
us-gaap:InterestAndDebtExpense,Interest Expense,IS
ba:IncomeLossfromInvestments,Interest and Invest. Income,IS
us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,EBT Incl. Unusual Items,IS
us-gaap:IncomeTaxExpenseBenefit,Income Tax Expense,IS
us-gaap:NetIncomeLoss,Earnings from Cont. Ops.,IS
us-gaap:NetIncomeLoss,Net Income to Company,IS
us-gaap:NetIncomeLoss,Net Income,IS
us-gaap:EarningsPerShareBasic,Basic EPS,IS
us-gaap:WeightedAverageNumberOfShareOutstandingBasicAndDiluted,Weighted Avg. Basic Shares Out.,IS
us-gaap:EarningsPerShareDiluted,Diluted EPS,IS
ba:DilutedWeightedAverageSharesOutstanding,Weighted Avg. Diluted Shares Out.,IS
us-gaap:CommonStockDividendsPerShareDeclared,Dividends per Share,IS
us-gaap:Revenues,As Reported Total Revenue,IS
us-gaap:CurrentStateAndLocalTaxExpenseBenefit,Current State & Local Taxes,IS
us-gaap:CurrentFederalTaxExpenseBenefit,Current Federal Taxes,
us-gaap:CurrentForeignTaxExpenseBenefit,Current Foreign Taxes,IS
us-gaap:CurrentIncomeTaxExpenseBenefit,Total Current Taxes,IS
us-gaap:DeferredStateAndLocalIncomeTaxExpenseBenefit,Deferred State & Local Taxes,IS
us-gaap:DeferredFederalIncomeTaxExpenseBenefit,Deferred Federal Taxes,IS
us-gaap:DeferredForeignIncomeTaxExpenseBenefit,Deferred Foreign Taxes,IS
us-gaap:DeferredIncomeTaxExpenseBenefit,Total Deferred Taxes,IS
us-gaap:InterestCostsCapitalized,Interest Capitalized,IS
us-gaap:GeneralAndAdministrativeExpense,Selling General & Admin Exp. ,IS
us-gaap:ResearchAndDevelopmentExpense,R&D Exp.,IS
us-gaap:LeaseAndRentalExpense,Net Rental Exp.,IS
us-gaap:AllocatedShareBasedCompensationExpense,"Stock-Based Comp., Unallocated",IS
us-gaap:CashAndCashEquivalentsAtCarryingValue,Cash And Equivalents,BS
us-gaap:ShortTermInvestments,Short Term Investments,BS
us-gaap:AccountsReceivableNetCurrent,Accounts Receivable,BS
us-gaap:UnbilledContractsReceivable,Accounts Receivable,BS
us-gaap:UnbilledContractsReceivable,Accounts Receivable,BS
us-gaap:InventoryNetOfAllowancesCustomerAdvancesAndProgressBillings,Inventory,BS
us-gaap:OtherAssetsCurrent,Other Current Assets,BS
us-gaap:AssetsCurrent,Total Current Assets,BS
us-gaap:PropertyPlantAndEquipmentGross,"Gross Property, Plant & Equipment",BS
us-gaap:AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,Accumulated Depreciation,BS
us-gaap:PropertyPlantAndEquipmentNet,"Net Property, Plant & Equipment",BS
us-gaap:LongTermInvestments,Long-term Investments,BS
us-gaap:Goodwill,Goodwill,BS
us-gaap:IntangibleAssetsNetExcludingGoodwill,Other Intangibles,BS
us-gaap:DeferredTaxAssetsNetNoncurrent,"Deferred Tax Assets, LT",BS
us-gaap:OtherAssetsNoncurrent,Other Long-Term Assets,BS
us-gaap:Assets,Total Assets,BS
us-gaap:AccountsPayableCurrent,Accounts Payable,BS
us-gaap:DebtCurrent,Curr. Port. of LT Debt,BS
us-gaap:TaxesPayableCurrentAndNoncurrent,Curr. Income Taxes Payable,BS
us-gaap:ContractWithCustomerLiabilityCurrent,"Unearned Revenue, Current",BS
us-gaap:LiabilitiesCurrent,Total Current Liabilities,BS
us-gaap:LongTermDebtAndCapitalLeaseObligations,Long-Term Debt,BS
us-gaap:DeferredTaxLiabilitiesNoncurrent,"Def. Tax Liability, Non-Curr.",BS
us-gaap:OtherLiabilitiesNoncurrent,Other Non-Current Liabilities,BS
us-gaap:CommonStockValue,Common Stock,BS
us-gaap:AdditionalPaidInCapital,Additional Paid In Capital,BS
us-gaap:RetainedEarningsAccumulatedDeficit,Retained Earnings,BS
us-gaap:TreasuryStockValue,Treasury Stock,BS
us-gaap:AccumulatedOtherComprehensiveIncomeLossNetOfTax,Comprehensive Inc. and Other,BS
us-gaap:StockholdersEquity,Total Common Equity,BS
us-gaap:StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,Total Equity,BS
us-gaap:LiabilitiesAndStockholdersEquity,Total Liabilities And Equity,BS
us-gaap:InventoryForLongTermContractsOrPrograms,Work in Progress Inventory,BS
us-gaap:Land,Land,BS
us-gaap:BuildingsAndImprovementsGross,Buildings,BS
us-gaap:MachineryAndEquipmentGross,Machinery,BS
us-gaap:AllowanceForDoubtfulAccountsReceivableCurrent,Accum. Allowance for Doubtful Accts,BS
us-gaap:NetIncomeLoss,Net Income,CS
us-gaap:Depreciation,Depreciation & Amort.,CS
us-gaap:AmortizationOfIntangibleAssets,Amort. of Goodwill and Intangibles,CS
us-gaap:DepreciationDepletionAndAmortization,"Depreciation & Amort., Total",CS
us-gaap:ShareBasedCompensation,Stock-Based Compensation,CS
